2403
(-2.000000, 1.609719, 0.000000) (-2.000000, 1.609719, 0.000000) (0.000000, -955650304.000000) 
(-1.995000, 1.684929, 0.000000) (-2.000000, 1.684929, 0.000000) (0.000000, -523060.500000) 
(-2.000000, 1.609719, 0.000000) (-2.000000, 1.609719, 0.000000) (0.000000, -956006400.000000) 
(-1.995000, 1.684929, 0.000000) (-1.995000, 1.684929, 0.000000) (0.000000, -955650304.000000) 
(-1.990000, 1.758623, 0.000000) (-1.995000, 1.758623, 0.000000) (0.000000, -523060.500000) 
(-1.995000, 1.684929, 0.000000) (-1.995000, 1.684929, 0.000000) (0.000000, -956006400.000000) 
(-1.990000, 1.758623, 0.000000) (-1.990000, 1.758623, 0.000000) (0.000000, -955650304.000000) 
(-1.985000, 1.830737, 0.000000) (-1.990000, 1.830737, 0.000000) (0.000000, -523060.500000) 
(-1.990000, 1.758623, 0.000000) (-1.990000, 1.758623, 0.000000) (0.000000, -956006400.000000) 
(-1.985000, 1.830737, 0.000000) (-1.985000, 1.830737, 0.000000) (0.000000, -955650304.000000) 
(-1.980000, 1.901201, 0.000000) (-1.985000, 1.901201, 0.000000) (0.000000, -523060.500000) 
(-1.985000, 1.830737, 0.000000) (-1.985000, 1.830737, 0.000000) (0.000000, -956006400.000000) 
(-1.980000, 1.901201, 0.000000) (-1.980000, 1.901201, 0.000000) (0.000000, -955650304.000000) 
(-1.975000, 1.969954, 0.000000) (-1.980000, 1.969954, 0.000000) (0.000000, -523060.500000) 
(-1.980000, 1.901201, 0.000000) (-1.980000, 1.901201, 0.000000) (0.000000, -956006400.000000) 
(-1.975000, 1.969954, 0.000000) (-1.975000, 1.969954, 0.000000) (0.000000, -955650304.000000) 
(-1.970000, 2.036937, 0.000000) (-1.975000, 2.036937, 0.000000) (0.000000, -523060.500000) 
(-1.975000, 1.969954, 0.000000) (-1.975000, 1.969954, 0.000000) (0.000000, -956006400.000000) 
(-1.970000, 2.036937, 0.000000) (-1.970000, 2.036937, 0.000000) (0.000000, -955650304.000000) 
(-1.965000, 2.102084, 0.000000) (-1.970000, 2.102084, 0.000000) (0.000000, -523060.500000) 
(-1.970000, 2.036937, 0.000000) (-1.970000, 2.036937, 0.000000) (0.000000, -956006400.000000) 
(-1.965000, 2.102084, 0.000000) (-1.965000, 2.102084, 0.000000) (0.000000, -955650304.000000) 
(-1.960000, 2.165339, 0.000000) (-1.965000, 2.165339, 0.000000) (0.000000, -523060.500000) 
(-1.965000, 2.102084, 0.000000) (-1.965000, 2.102084, 0.000000) (0.000000, -956006400.000000) 
(-1.960000, 2.165339, 0.000000) (-1.960000, 2.165339, 0.000000) (0.000000, -955650304.000000) 
(-1.955000, 2.226646, 0.000000) (-1.960000, 2.226646, 0.000000) (0.000000, -523060.500000) 
(-1.960000, 2.165339, 0.000000) (-1.960000, 2.165339, 0.000000) (0.000000, -956006400.000000) 
(-1.955000, 2.226646, 0.000000) (-1.955000, 2.226646, 0.000000) (0.000000, -955650304.000000) 
(-1.950000, 2.285949, 0.000000) (-1.955000, 2.285949, 0.000000) (0.000000, -523060.500000) 
(-1.955000, 2.226646, 0.000000) (-1.955000, 2.226646, 0.000000) (0.000000, -956006400.000000) 
(-1.950000, 2.285949, 0.000000) (-1.950000, 2.285949, 0.000000) (0.000000, -955650304.000000) 
(-1.945000, 2.343197, 0.000000) (-1.950000, 2.343197, 0.000000) (0.000000, -523060.500000) 
