80
(-10, 4.52682, 0) (0, 1, 0.5) (0, 0)
(-9.75, 4.32537, 0) (0, 1, 0.5) (0, 0)
(-9.5, 4.13024, 0) (0, 1, 0.5) (0, 0)
(-9.25, 3.94144, 0) (0, 1, 0.5) (0, 0)
(-9, 3.75896, 0) (0, 1, 0.5) (0, 0)
(-8.75, 3.5828, 0) (0, 1, 0.5) (0, 0)
(-8.5, 3.41297, 0) (0, 1, 0.5) (0, 0)
(-8.25, 3.24947, 0) (0, 1, 0.5) (0, 0)
(-8, 3.09229, 0) (0, 1, 0.5) (0, 0)
(-7.75, 2.94143, 0) (0, 1, 0.5) (0, 0)
(-7.5, 2.7969, 0) (0, 1, 0.5) (0, 0)
(-7.25, 2.65869, 0) (0, 1, 0.5) (0, 0)
(-7, 2.5268, 0) (0, 1, 0.5) (0, 0)
(-6.75, 2.40124, 0) (0, 1, 0.5) (0, 0)
(-6.5, 2.28201, 0) (0, 1, 0.5) (0, 0)
(-6.25, 2.1691, 0) (0, 1, 0.5) (0, 0)
(-6, 2.06251, 0) (0, 1, 0.5) (0, 0)
(-5.75, 1.96225, 0) (0, 1, 0.5) (0, 0)
(-5.5, 1.86831, 0) (0, 1, 0.5) (0, 0)
(-5.25, 1.7807, 0) (0, 1, 0.5) (0, 0)
(-5, 1.69941, 0) (0, 1, 0.5) (0, 0)
(-4.75, 1.62445, 0) (0, 1, 0.5) (0, 0)
(-4.5, 1.55581, 0) (0, 1, 0.5) (0, 0)
(-4.25, 1.49349, 0) (0, 1, 0.5) (0, 0)
(-4, 1.4375, 0) (0, 1, 0.5) (0, 0)
(-3.75, 1.38784, 0) (0, 1, 0.5) (0, 0)
(-3.5, 1.3445, 0) (0, 1, 0.5) (0, 0)
(-3.25, 1.30748, 0) (0, 1, 0.5) (0, 0)
(-3, 1.27679, 0) (0, 1, 0.5) (0, 0)
(-2.75, 1.25242, 0) (0, 1, 0.5) (0, 0)
(-2.5, 1.23437, 0) (0, 1, 0.5) (0, 0)
(-2.25, 1.22265, 0) (0, 1, 0.5) (0, 0)
(-2, 1.21726, 0) (0, 1, 0.5) (0, 0)
(-1.75, 1.21819, 0) (0, 1, 0.5) (0, 0)
(-1.5, 1.22544, 0) (0, 1, 0.5) (0, 0)
(-1.25, 1.23902, 0) (0, 1, 0.5) (0, 0)
(-1, 1.25892, 0) (0, 1, 0.5) (0, 0)
(-0.75, 1.28515, 0) (0, 1, 0.5) (0, 0)
(-0.5, 1.3177, 0) (0, 1, 0.5) (0, 0)
(-0.25, 1.35658, 0) (0, 1, 0.5) (0, 0)
(0, 1.40178, 0) (0, 1, 0.5) (0, 0)
(0.25, 1.4533, 0) (0, 1, 0.5) (0, 0)
(0.5, 1.51115, 0) (0, 1, 0.5) (0, 0)
(0.75, 1.57533, 0) (0, 1, 0.5) (0, 0)
(1, 1.64583, 0) (0, 1, 0.5) (0, 0)
(1.25, 1.72265, 0) (0, 1, 0.5) (0, 0)
(1.5, 1.8058, 0) (0, 1, 0.5) (0, 0)
(1.75, 1.89527, 0) (0, 1, 0.5) (0, 0)
(2, 1.99106, 0) (0, 1, 0.5) (0, 0)
(2.25, 2.09318, 0) (0, 1, 0.5) (0, 0)
(2.5, 2.20163, 0) (0, 1, 0.5) (0, 0)
(2.75, 2.3164, 0) (0, 1, 0.5) (0, 0)
(3, 2.43749, 0) (0, 1, 0.5) (0, 0)
(3.25, 2.56491, 0) (0, 1, 0.5) (0, 0)
(3.5, 2.69865, 0) (0, 1, 0.5) (0, 0)
(3.75, 2.83872, 0) (0, 1, 0.5) (0, 0)
(4, 2.98511, 0) (0, 1, 0.5) (0, 0)
(4.25, 3.13783, 0) (0, 1, 0.5) (0, 0)
(4.5, 3.29687, 0) (0, 1, 0.5) (0, 0)
(4.75, 3.46223, 0) (0, 1, 0.5) (0, 0)
(5, 3.63392, 0) (0, 1, 0.5) (0, 0)
(5.25, 3.81194, 0) (0, 1, 0.5) (0, 0)
(5.5, 3.99627, 0) (0, 1, 0.5) (0, 0)
(5.75, 4.18694, 0) (0, 1, 0.5) (0, 0)
(6, 4.38392, 0) (0, 1, 0.5) (0, 0)
(6.25, 4.58723, 0) (0, 1, 0.5) (0, 0)
(6.5, 4.79687, 0) (0, 1, 0.5) (0, 0)
(6.75, 5.01283, 0) (0, 1, 0.5) (0, 0)
(7, 5.23512, 0) (0, 1, 0.5) (0, 0)
(7.25, 5.46373, 0) (0, 1, 0.5) (0, 0)
(7.5, 5.69866, 0) (0, 1, 0.5) (0, 0)
(7.75, 5.93992, 0) (0, 1, 0.5) (0, 0)
(8, 6.1875, 0) (0, 1, 0.5) (0, 0)
(8.25, 6.44141, 0) (0, 1, 0.5) (0, 0)
(8.5, 6.70164, 0) (0, 1, 0.5) (0, 0)
(8.75, 6.96819, 0) (0, 1, 0.5) (0, 0)
(9, 7.24107, 0) (0, 1, 0.5) (0, 0)
(9.25, 7.52028, 0) (0, 1, 0.5) (0, 0)
(9.5, 7.80581, 0) (0, 1, 0.5) (0, 0)
(9.75, 8.09766, 0) (0, 1, 0.5) (0, 0)
(10, 8.39584, 0) (0, 1, 0.5) (0, 0)
