80
(-10, 1545.47, 0) (0, 0.5, 1) (0, 0)
(-9.75, 1459.45, 0) (0, 0.5, 1) (0, 0)
(-9.5, 1376.66, 0) (0, 0.5, 1) (0, 0)
(-9.25, 1297.03, 0) (0, 0.5, 1) (0, 0)
(-9, 1220.5, 0) (0, 0.5, 1) (0, 0)
(-8.75, 1147.02, 0) (0, 0.5, 1) (0, 0)
(-8.5, 1076.51, 0) (0, 0.5, 1) (0, 0)
(-8.25, 1008.93, 0) (0, 0.5, 1) (0, 0)
(-8, 944.201, 0) (0, 0.5, 1) (0, 0)
(-7.75, 882.273, 0) (0, 0.5, 1) (0, 0)
(-7.5, 823.082, 0) (0, 0.5, 1) (0, 0)
(-7.25, 766.567, 0) (0, 0.5, 1) (0, 0)
(-7, 712.668, 0) (0, 0.5, 1) (0, 0)
(-6.75, 661.322, 0) (0, 0.5, 1) (0, 0)
(-6.5, 612.47, 0) (0, 0.5, 1) (0, 0)
(-6.25, 566.049, 0) (0, 0.5, 1) (0, 0)
(-6, 522.001, 0) (0, 0.5, 1) (0, 0)
(-5.75, 480.262, 0) (0, 0.5, 1) (0, 0)
(-5.5, 440.773, 0) (0, 0.5, 1) (0, 0)
(-5.25, 403.473, 0) (0, 0.5, 1) (0, 0)
(-5, 368.3, 0) (0, 0.5, 1) (0, 0)
(-4.75, 335.194, 0) (0, 0.5, 1) (0, 0)
(-4.5, 304.094, 0) (0, 0.5, 1) (0, 0)
(-4.25, 274.939, 0) (0, 0.5, 1) (0, 0)
(-4, 247.667, 0) (0, 0.5, 1) (0, 0)
(-3.75, 222.218, 0) (0, 0.5, 1) (0, 0)
(-3.5, 198.532, 0) (0, 0.5, 1) (0, 0)
(-3.25, 176.546, 0) (0, 0.5, 1) (0, 0)
(-3, 156.2, 0) (0, 0.5, 1) (0, 0)
(-2.75, 137.434, 0) (0, 0.5, 1) (0, 0)
(-2.5, 120.186, 0) (0, 0.5, 1) (0, 0)
(-2.25, 104.395, 0) (0, 0.5, 1) (0, 0)
(-2, 90.0001, 0) (0, 0.5, 1) (0, 0)
(-1.75, 76.941, 0) (0, 0.5, 1) (0, 0)
(-1.5, 65.1563, 0) (0, 0.5, 1) (0, 0)
(-1.25, 54.5852, 0) (0, 0.5, 1) (0, 0)
(-1, 45.1667, 0) (0, 0.5, 1) (0, 0)
(-0.75, 36.8399, 0) (0, 0.5, 1) (0, 0)
(-0.5, 29.5438, 0) (0, 0.5, 1) (0, 0)
(-0.25, 23.2175, 0) (0, 0.5, 1) (0, 0)
(0, 17.8, 0) (0, 0.5, 1) (0, 0)
(0.25, 13.2305, 0) (0, 0.5, 1) (0, 0)
(0.5, 9.44792, 0) (0, 0.5, 1) (0, 0)
(0.75, 6.39141, 0) (0, 0.5, 1) (0, 0)
(1, 4, 0) (0, 0.5, 1) (0, 0)
(1.25, 2.21276, 0) (0, 0.5, 1) (0, 0)
(1.5, 0.968748, 0) (0, 0.5, 1) (0, 0)
(1.75, 0.207027, 0) (0, 0.5, 1) (0, 0)
(2, -0.133336, 0) (0, 0.5, 1) (0, 0)
(2.25, -0.113282, 0) (0, 0.5, 1) (0, 0)
(2.5, 0.206249, 0) (0, 0.5, 1) (0, 0)
(2.75, 0.764321, 0) (0, 0.5, 1) (0, 0)
(3, 1.5, 0) (0, 0.5, 1) (0, 0)
(3.25, 2.35235, 0) (0, 0.5, 1) (0, 0)
(3.5, 3.26042, 0) (0, 0.5, 1) (0, 0)
(3.75, 4.16328, 0) (0, 0.5, 1) (0, 0)
(4, 5.00001, 0) (0, 0.5, 1) (0, 0)
(4.25, 5.70964, 0) (0, 0.5, 1) (0, 0)
(4.5, 6.23126, 0) (0, 0.5, 1) (0, 0)
(4.75, 6.50391, 0) (0, 0.5, 1) (0, 0)
(5, 6.46667, 0) (0, 0.5, 1) (0, 0)
(5.25, 6.0586, 0) (0, 0.5, 1) (0, 0)
(5.5, 5.21875, 0) (0, 0.5, 1) (0, 0)
(5.75, 3.8862, 0) (0, 0.5, 1) (0, 0)
(6, 2, 0) (0, 0.5, 1) (0, 0)
(6.25, -0.500787, 0) (0, 0.5, 1) (0, 0)
(6.5, -3.67709, 0) (0, 0.5, 1) (0, 0)
(6.75, -7.58986, 0) (0, 0.5, 1) (0, 0)
(7, -12.3, 0) (0, 0.5, 1) (0, 0)
(7.25, -17.8685, 0) (0, 0.5, 1) (0, 0)
(7.5, -24.3563, 0) (0, 0.5, 1) (0, 0)
(7.75, -31.8243, 0) (0, 0.5, 1) (0, 0)
(8, -40.3334, 0) (0, 0.5, 1) (0, 0)
(8.25, -49.9446, 0) (0, 0.5, 1) (0, 0)
(8.5, -60.7189, 0) (0, 0.5, 1) (0, 0)
(8.75, -72.717, 0) (0, 0.5, 1) (0, 0)
(9, -86.0001, 0) (0, 0.5, 1) (0, 0)
(9.25, -100.629, 0) (0, 0.5, 1) (0, 0)
(9.5, -116.665, 0) (0, 0.5, 1) (0, 0)
(9.75, -134.168, 0) (0, 0.5, 1) (0, 0)
(10, -153.2, 0) (0, 0.5, 1) (0, 0)
